time_iso8601,stars_cumulative
2021-05-30 00:00:00+00:00,284
2021-05-31 00:00:00+00:00,286
2021-06-01 00:00:00+00:00,289
2021-06-03 00:00:00+00:00,290
2021-06-04 00:00:00+00:00,292
2021-06-05 00:00:00+00:00,294
2021-06-08 00:00:00+00:00,296
2021-06-09 00:00:00+00:00,297
2021-06-10 00:00:00+00:00,299
2021-06-12 00:00:00+00:00,300
2021-06-13 00:00:00+00:00,301
2021-06-15 00:00:00+00:00,302
2021-06-19 00:00:00+00:00,304
2021-06-20 00:00:00+00:00,305
2021-06-21 00:00:00+00:00,307
2021-06-22 00:00:00+00:00,308
2021-06-23 00:00:00+00:00,309
2021-06-24 00:00:00+00:00,311
2021-06-25 00:00:00+00:00,313
2021-06-28 00:00:00+00:00,315
2021-06-30 00:00:00+00:00,316
2021-07-05 00:00:00+00:00,317
2021-07-07 00:00:00+00:00,318
2021-07-08 00:00:00+00:00,320
2021-07-12 00:00:00+00:00,322
2021-07-13 00:00:00+00:00,324
2021-07-16 00:00:00+00:00,325
2021-07-18 00:00:00+00:00,327
2021-07-19 00:00:00+00:00,328
2021-07-20 00:00:00+00:00,329
2021-07-23 00:00:00+00:00,330
2021-07-25 00:00:00+00:00,333
2021-07-26 00:00:00+00:00,335
2021-07-27 00:00:00+00:00,336
2021-08-01 00:00:00+00:00,337
2021-08-02 00:00:00+00:00,338
2021-08-03 00:00:00+00:00,339
2021-08-05 00:00:00+00:00,341
2021-08-06 00:00:00+00:00,342
2021-08-09 00:00:00+00:00,344
2021-08-11 00:00:00+00:00,346
2021-08-14 00:00:00+00:00,347
2021-08-15 00:00:00+00:00,349
2021-08-16 00:00:00+00:00,352
2021-08-17 00:00:00+00:00,353
2021-08-18 00:00:00+00:00,355
2021-08-19 00:00:00+00:00,358
2021-08-20 00:00:00+00:00,359
2021-08-22 00:00:00+00:00,360
2021-08-25 00:00:00+00:00,362
2021-08-26 00:00:00+00:00,364
2021-08-29 00:00:00+00:00,366
2021-09-03 00:00:00+00:00,368
