time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-01 00:00:00+00:00,32,20,9,7
2026-03-02 00:00:00+00:00,27,18,9,8
2026-03-03 00:00:00+00:00,29,19,6,6
2026-03-04 00:00:00+00:00,17,15,12,9
2026-03-05 00:00:00+00:00,27,15,8,7
2026-03-06 00:00:00+00:00,28,15,10,9
2026-03-07 00:00:00+00:00,24,16,10,9
2026-03-08 00:00:00+00:00,25,15,7,6
2026-03-09 00:00:00+00:00,22,14,5,5
2026-03-10 00:00:00+00:00,17,12,32,5
2026-03-11 00:00:00+00:00,17,12,8,7
2026-03-12 00:00:00+00:00,20,15,8,8
2026-03-13 00:00:00+00:00,16,11,27,11
2026-03-14 00:00:00+00:00,25,19,12,6
