time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-27 00:00:00+00:00,17,9,6,5
2025-12-28 00:00:00+00:00,23,17,6,6
2025-12-29 00:00:00+00:00,34,24,8,4
2025-12-30 00:00:00+00:00,19,14,14,13
2025-12-31 00:00:00+00:00,18,13,7,4
2026-01-01 00:00:00+00:00,9,9,10,8
2026-01-02 00:00:00+00:00,21,13,31,6
2026-01-03 00:00:00+00:00,12,8,5,5
2026-01-04 00:00:00+00:00,15,10,32,3
2026-01-05 00:00:00+00:00,16,12,5,5
2026-01-06 00:00:00+00:00,17,13,7,5
2026-01-07 00:00:00+00:00,14,10,33,7
2026-01-08 00:00:00+00:00,12,8,7,6
2026-01-09 00:00:00+00:00,21,11,9,9
