referrer,views_total,views_unique
github.com,15,10
tailawesome.com,14,3
her-cat.com,3,2
imnerd.org,2,2
soku.com,2,1
wow.com,2,1
digitalisation-and-science.de,1,1
huubs.imente.com,1,1
template0.com,1,1
wangchucheng.com,1,1
