time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-27 00:00:00+00:00,12,7,3,3
2026-07-28 00:00:00+00:00,12,7,2,2
2026-07-29 00:00:00+00:00,19,6,8,8
2026-07-30 00:00:00+00:00,10,5,7,7
2026-07-31 00:00:00+00:00,15,5,2,2
2026-08-01 00:00:00+00:00,11,5,8,6
2026-08-02 00:00:00+00:00,22,12,2,1
2026-08-03 00:00:00+00:00,2,2,25,1
2026-08-04 00:00:00+00:00,4,4,7,7
2026-08-05 00:00:00+00:00,6,6,18,5
2026-08-06 00:00:00+00:00,5,5,7,5
2026-08-07 00:00:00+00:00,10,6,37,11
2026-08-08 00:00:00+00:00,18,8,13,9
2026-08-09 00:00:00+00:00,3,3,9,8
