referrer,views_total,views_unique
github.com,17,9
Google,12,12
tailawesome.com,7,4
naeder.by,5,2
htmlrev.com,4,4
link.zhihu.com,3,2
discourse.gohugo.io,2,2
imnerd.org,2,2
Bing,2,1
funbeta.me,2,1
