time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-07 00:00:00+00:00,79,12,5,4
2026-07-08 00:00:00+00:00,40,16,5,3
2026-07-09 00:00:00+00:00,5,4,9,8
2026-07-10 00:00:00+00:00,26,12,9,9
2026-07-11 00:00:00+00:00,9,8,36,4
2026-07-12 00:00:00+00:00,23,10,9,6
2026-07-13 00:00:00+00:00,29,14,5,3
2026-07-14 00:00:00+00:00,12,7,6,3
2026-07-15 00:00:00+00:00,14,9,9,8
2026-07-16 00:00:00+00:00,7,2,3,3
2026-07-17 00:00:00+00:00,18,9,9,6
2026-07-18 00:00:00+00:00,2,2,10,10
2026-07-19 00:00:00+00:00,18,9,1,1
2026-07-20 00:00:00+00:00,12,7,31,2
