referrer,views_total,views_unique
github.com,73,30
Google,35,8
wangchucheng.com,14,4
search.brave.com,9,1
link.zhihu.com,8,7
naeder.by,6,3
chatgpt.com,5,3
discourse.gohugo.io,3,1
gohugothemes.com,2,2
template0.com,1,1
