time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-19 00:00:00+00:00,10,10,7,5
2025-10-20 00:00:00+00:00,13,12,9,8
2025-10-21 00:00:00+00:00,43,26,8,6
2025-10-22 00:00:00+00:00,86,62,5,5
2025-10-23 00:00:00+00:00,20,13,336,326
2025-10-24 00:00:00+00:00,48,31,626,650
2025-10-25 00:00:00+00:00,7,7,10,9
2025-10-26 00:00:00+00:00,14,10,20,14
2025-10-27 00:00:00+00:00,18,12,4,4
2025-10-28 00:00:00+00:00,10,10,8,7
2025-10-29 00:00:00+00:00,33,17,7,7
2025-10-30 00:00:00+00:00,13,12,10,10
2025-10-31 00:00:00+00:00,13,13,6,6
2025-11-01 00:00:00+00:00,15,13,13,7
