time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-30 00:00:00+00:00,4,3,6,4
2026-08-31 00:00:00+00:00,10,9,8,6
2026-09-01 00:00:00+00:00,3,2,5,4
2026-09-02 00:00:00+00:00,14,6,5,4
2026-09-03 00:00:00+00:00,11,7,33,4
2026-09-04 00:00:00+00:00,75,6,6,5
2026-09-05 00:00:00+00:00,16,10,9,6
2026-09-06 00:00:00+00:00,33,16,10,5
2026-09-07 00:00:00+00:00,23,12,41,11
2026-09-08 00:00:00+00:00,4,4,25,17
2026-09-09 00:00:00+00:00,5,4,20,19
2026-09-10 00:00:00+00:00,4,3,33,30
2026-09-11 00:00:00+00:00,50,8,16,16
2026-09-12 00:00:00+00:00,5,5,11,11
