time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-01 00:00:00+00:00,24,15,16,5
2026-02-02 00:00:00+00:00,21,16,16,9
2026-02-03 00:00:00+00:00,28,20,4,4
2026-02-04 00:00:00+00:00,23,12,8,7
2026-02-05 00:00:00+00:00,19,17,7,5
2026-02-06 00:00:00+00:00,22,21,14,7
2026-02-07 00:00:00+00:00,30,19,5,5
2026-02-08 00:00:00+00:00,26,16,10,9
2026-02-09 00:00:00+00:00,24,21,15,8
2026-02-10 00:00:00+00:00,18,16,39,10
2026-02-11 00:00:00+00:00,15,13,2,2
2026-02-12 00:00:00+00:00,17,12,5,5
2026-02-13 00:00:00+00:00,19,13,8,6
2026-02-14 00:00:00+00:00,13,11,5,4
