time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,30,16,32,4
2026-04-27 00:00:00+00:00,34,25,1,1
2026-04-28 00:00:00+00:00,36,19,8,7
2026-04-29 00:00:00+00:00,45,20,12,10
2026-04-30 00:00:00+00:00,56,27,6,4
2026-05-01 00:00:00+00:00,17,12,9,8
2026-05-02 00:00:00+00:00,23,11,10,10
2026-05-03 00:00:00+00:00,28,18,14,13
2026-05-04 00:00:00+00:00,33,15,17,7
2026-05-05 00:00:00+00:00,47,22,3,3
2026-05-06 00:00:00+00:00,19,13,4,4
2026-05-07 00:00:00+00:00,36,18,4,3
2026-05-08 00:00:00+00:00,26,16,9,2
2026-05-09 00:00:00+00:00,43,21,5,5
