referrer,views_total,views_unique
github.com,97,24
wangchucheng.com,8,1
naeder.by,6,6
Google,4,4
jiamingzhang94.github.io,3,1
DuckDuckGo,2,2
template0.com,2,1
tailawesome.com,1,1
imnerd.org,1,1
itsuitsuki.github.io,1,1
