time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-21 00:00:00+00:00,33,16,3,3
2026-07-22 00:00:00+00:00,27,14,3,3
2026-07-23 00:00:00+00:00,24,11,6,6
2026-07-24 00:00:00+00:00,14,8,6,4
2026-07-25 00:00:00+00:00,27,13,4,4
2026-07-26 00:00:00+00:00,11,6,12,7
2026-07-27 00:00:00+00:00,12,7,3,3
2026-07-28 00:00:00+00:00,12,7,2,2
2026-07-29 00:00:00+00:00,19,6,8,8
2026-07-30 00:00:00+00:00,10,5,7,7
2026-07-31 00:00:00+00:00,15,5,2,2
2026-08-01 00:00:00+00:00,11,5,8,6
2026-08-02 00:00:00+00:00,22,12,2,1
2026-08-03 00:00:00+00:00,2,2,25,1
