time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-27 00:00:00+00:00,14,13,7,5
2026-01-28 00:00:00+00:00,17,11,6,6
2026-01-29 00:00:00+00:00,20,13,41,6
2026-01-30 00:00:00+00:00,25,17,6,6
2026-01-31 00:00:00+00:00,13,13,7,5
2026-02-01 00:00:00+00:00,24,15,16,5
2026-02-02 00:00:00+00:00,21,16,16,9
2026-02-03 00:00:00+00:00,28,20,4,4
2026-02-04 00:00:00+00:00,23,12,8,7
2026-02-05 00:00:00+00:00,19,17,7,5
2026-02-06 00:00:00+00:00,22,21,14,7
2026-02-07 00:00:00+00:00,30,19,5,5
2026-02-08 00:00:00+00:00,26,16,10,9
2026-02-09 00:00:00+00:00,24,21,15,8
