referrer,views_total,views_unique
github.com,68,26
Google,24,7
wangchucheng.com,14,4
link.zhihu.com,9,8
search.brave.com,9,1
naeder.by,7,4
chatgpt.com,6,4
discourse.gohugo.io,3,1
uzz5.com,2,2
gohugothemes.com,2,2
