time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-21 00:00:00+00:00,6,6,24,6
2025-11-22 00:00:00+00:00,80,76,17,4
2025-11-23 00:00:00+00:00,13,13,331,332
2025-11-24 00:00:00+00:00,11,11,649,590
2025-11-25 00:00:00+00:00,9,9,5,5
2025-11-26 00:00:00+00:00,10,10,4,4
2025-11-27 00:00:00+00:00,14,12,8,7
2025-11-28 00:00:00+00:00,18,18,26,5
2025-11-29 00:00:00+00:00,12,11,3,3
2025-11-30 00:00:00+00:00,21,19,3,2
2025-12-01 00:00:00+00:00,63,25,13,7
2025-12-02 00:00:00+00:00,65,35,6,6
2025-12-03 00:00:00+00:00,135,51,12,5
2025-12-04 00:00:00+00:00,20,14,5,5
