time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-05 00:00:00+00:00,13.0,13.0,5,5
2025-08-06 00:00:00+00:00,21.0,15.0,16,6
2025-08-07 00:00:00+00:00,25.0,17.0,7,5
2025-08-08 00:00:00+00:00,22.0,15.0,7,3
2025-08-09 00:00:00+00:00,11.0,7.0,3,3
2025-08-10 00:00:00+00:00,18.0,12.0,5,4
2025-08-11 00:00:00+00:00,26.0,13.0,67,5
2025-08-12 00:00:00+00:00,24.0,10.0,9,8
2025-08-13 00:00:00+00:00,16.0,10.0,10,8
2025-08-14 00:00:00+00:00,13.0,7.0,5,5
2025-08-15 00:00:00+00:00,,,6,6
2025-08-16 00:00:00+00:00,,,7,6
2025-08-17 00:00:00+00:00,,,5,1
2025-08-18 00:00:00+00:00,,,16,7
