time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-21 00:00:00+00:00,8,8,2,2
2026-08-22 00:00:00+00:00,10,9,3,3
2026-08-23 00:00:00+00:00,30,18,10,9
2026-08-24 00:00:00+00:00,8,5,38,6
2026-08-25 00:00:00+00:00,6,5,465,470
2026-08-26 00:00:00+00:00,6,5,846,847
2026-08-27 00:00:00+00:00,1,1,1076,1083
2026-08-28 00:00:00+00:00,1,1,9,7
2026-08-29 00:00:00+00:00,20,11,8,4
2026-08-30 00:00:00+00:00,4,3,6,4
2026-08-31 00:00:00+00:00,10,9,8,6
2026-09-01 00:00:00+00:00,3,2,5,4
2026-09-02 00:00:00+00:00,14,6,5,4
2026-09-03 00:00:00+00:00,11,7,33,4
