time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-17 00:00:00+00:00,7,7,5,1
2025-08-18 00:00:00+00:00,25,17,17,8
2025-08-19 00:00:00+00:00,23,17,5,4
2025-08-20 00:00:00+00:00,19,13,2,2
2025-08-21 00:00:00+00:00,24,11,5,4
2025-08-22 00:00:00+00:00,18,12,3,3
2025-08-23 00:00:00+00:00,9,9,269,270
2025-08-24 00:00:00+00:00,19,11,540,546
2025-08-25 00:00:00+00:00,17,11,2,2
2025-08-26 00:00:00+00:00,13,7,3,3
2025-08-27 00:00:00+00:00,15,9,2,2
2025-08-28 00:00:00+00:00,19,13,4,4
2025-08-29 00:00:00+00:00,18,12,16,6
2025-08-30 00:00:00+00:00,26,20,13,6
