time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-30 00:00:00+00:00,17,8,2,2
2026-07-01 00:00:00+00:00,3,3,2,2
2026-07-02 00:00:00+00:00,23,10,3,3
2026-07-03 00:00:00+00:00,30,11,4,4
2026-07-04 00:00:00+00:00,19,10,6,5
2026-07-05 00:00:00+00:00,18,7,8,3
2026-07-06 00:00:00+00:00,16,7,4,1
2026-07-07 00:00:00+00:00,79,12,5,4
2026-07-08 00:00:00+00:00,40,16,5,3
2026-07-09 00:00:00+00:00,5,4,9,8
2026-07-10 00:00:00+00:00,26,12,9,9
2026-07-11 00:00:00+00:00,9,8,36,4
2026-07-12 00:00:00+00:00,23,10,9,6
2026-07-13 00:00:00+00:00,29,14,5,3
